query,response,score,timestamp
"Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here .",No question .,1.0,"01/02/2017, 02:32:52"
"Cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate Vincent 's days",A byzantine melodrama that stimulates the higher brain functions as well as the libido .,1.0,"01/02/2018, 04:32:17"
"As lo-fi as the special effects are , the folks who cobbled Nemesis together indulge the force of humanity over hardware in a way that George Lucas has long forgotten .",Bow 's best moments are when he 's getting busy on the basketball court because that 's when he really scores .,0.15357142857142858,"01/02/2018, 19:53:24"
"It 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .",Director Rob Marshall went out gunning to make a great one .,-0.21666666666666667,"01/04/2019, 03:23:17"
"Its mysteries are transparently obvious , and it 's too slowly paced to be a thriller .","Still , I 'm not quite sure what the point is ...",-0.15000000000000002,"01/04/2019, 17:39:55"
It 's a great deal of sizzle and very little steak .,"Workmanlike , maybe , but still a film with all the elements that made the other three great , scary times at the movies .",0.278125,"01/05/2017, 10:17:16"
"A slick , skillful little horror film .","A resonant tale of racism , revenge and retribution .",-0.21875,"01/05/2017, 17:24:41"
Bennett 's dramatization of her personal descent into post-breakup perdition has a morbid appeal that 's tough to shake .,"Earns its laughs from stock redneck ` types ' and from the many , many moments when we recognize even without the Elizabethan prose , the play behind the thing .",-0.19444444444444445,"01/06/2015, 14:15:33"
I whole-heartedly recommend that everyone see this movie -- for its historical significance alone .,"This is one of the most visually stunning and thematically moving epics in recent memory , and in spite of numerous minor flaws , Scorsese 's best in more than a decade .",0.0,"01/06/2016, 18:34:31"
"Behind the snow games and lovable Siberian huskies -LRB- plus one sheep dog -RRB- , the picture hosts a parka-wrapped dose of heart .","Zhang Yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones .",0.04999999999999999,"01/06/2017, 02:30:44"
A well-made and often lovely depiction of the mysteries of friendship .,"It 's a good film -- not a classic , but odd , entertaining and authentic .",0.5,"01/08/2015, 19:32:57"
The result is mesmerizing -- filled with menace and squalor .,"... a haunting vision , with images that seem more like disturbing hallucinations .",0.35,"01/08/2016, 10:52:03"
"Although it bangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music , and good-natured spunk are often infectious .","It 's a nicely detailed world of pawns , bishops and kings , of wagers in dingy backrooms or pristine forests .",0.3333333333333333,"01/08/2017, 01:38:16"
"Even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of Vardalos ' humor , which transcends ethnic boundaries .","At times funny and at other times candidly revealing , it 's an intriguing look at two performers who put themselves out there because they love what they do .",0.2,"01/08/2018, 22:03:36"
"In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema .",Hmm .,0.0,"01/10/2016, 09:32:48"
"Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .","Pretty darn good , despite its smarty-pants aura .",0.38061224489795914,"01/10/2019, 03:53:36"
Engagingly captures the maddening and magnetic ebb and flow of friendship .,"It is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leave both camps engaged in a ferocious debate for years to come .",0.4,"01/11/2017, 01:52:19"
An engaging overview of Johnson 's eccentric career .,"This road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",0.2,"01/11/2017, 17:41:36"
"Longley has constructed a remarkably coherent , horrifically vivid snapshot of those turbulent days .",A richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,0.3125,"01/12/2016, 14:58:26"
Kinnear gives a tremendous performance .,"Droll caper-comedy remake of `` Big Deal on Madonna Street '' that 's a sly , amusing , laugh-filled little gem in which the ultimate `` Bellini '' begins to look like a `` real Kaputschnik . ''",0.3333333333333333,"02/03/2016, 11:23:14"
"Intriguing and beautiful film , but those of you who read the book are likely to be disappointed .","A recent favourite at Sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of Def Leppard 's Pyromania .",0.09999999999999998,"02/03/2017, 12:59:51"
"Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .","If it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right .",-0.11875,"02/05/2015, 10:01:03"
But he somehow pulls it off .,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",0.0,"02/06/2015, 12:50:57"
It 's a terrific American sports movie and Dennis Quaid is its athletic heart .,"Thoughtful , provocative and entertaining .",0.0,"02/06/2015, 13:47:49"
"Maybe it 's just because this past year has seen the release of some of the worst film comedies in decades ... But honestly , Analyze That really is n't all that bad .",Pray 's film works well and will appeal even to those who are n't too familiar with turntablism .,-0.22999999999999998,"02/06/2016, 21:50:03"
When it really counts ... Bloody Sunday connects on a visceral level that transcends language .,This is art paying homage to art .,-0.30000000000000004,"02/06/2018, 07:22:48"
"A mostly intelligent , engrossing and psychologically resonant suspenser .",It 's also the year 's sweetest movie .,0.4666666666666666,"02/07/2015, 08:58:23"
The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,"Bourne , Jason Bourne .",0.2444444444444445,"02/07/2018, 10:15:50"
Hugh Grant and Sandra Bullock are two such likeable actors .,"A bowel-curdling , heart-stopping recipe for terror .",0.0,"02/08/2015, 17:38:46"
"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",This is a very fine movie -- go see it .,0.5583333333333333,"02/08/2017, 16:04:25"
The best movie of its kind since ` Brazil . ',It 's a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown Chelsea Hotel ...,0.8,"02/09/2015, 12:38:59"
"It could change America , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .","Nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives Hollywood .",0.15416666666666667,"02/10/2015, 09:01:22"
"A splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience .",a compelling portrait of moral emptiness,0.2833333333333333,"02/11/2019, 20:01:23"
Is office work really as alienating as ` Bartleby ' so effectively makes it ?,Westfeldt and Juergensen exude a chemistry and comfort level that 's both saucy and endearing .,0.15,"02/12/2019, 04:36:41"
Hands down the year 's most thought-provoking film .,"A work of intricate elegance , literary lyricism and profound common sense .",0.24814814814814815,"03/01/2016, 22:59:41"
"The year 's happiest surprise , a movie that deals with a real subject in an always surprising way .",Claude Miller airs out a tight plot with an easy pace and a focus on character drama over crime-film complications .,0.22499999999999998,"03/01/2018, 23:53:14"
Take Care of My Cat offers a refreshingly different slice of Asian cinema .,What might have been a predictably heartwarming tale is suffused with complexity .,0.03333333333333333,"03/05/2016, 02:51:04"
"Still pretentious and filled with subtext , but entertaining enough at ` face value ' to recommend to anyone looking for something different .","You 'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it .",0.12000000000000002,"03/05/2016, 12:34:17"
"Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .",Has a shambling charm ... a cheerfully inconsequential diversion .,0.02750000000000001,"03/05/2017, 21:10:01"
"One of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken .",One of the best of the year .,0.32083333333333336,"03/07/2019, 19:32:47"
You might not buy the ideas .,An incredibly clever and superbly paced caper filled with scams within scams within scams .,0.0,"03/08/2017, 15:19:18"
Disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... Tuck Everlasting is a little of both .,"... a weak , manipulative , pencil-thin story that is miraculously able to entertain anyway .",0.25625,"03/09/2016, 06:50:27"
Nair does capture the complexity of a big family and its trials and tribulations ...,Good ol' urban legend stuff .,0.0,"03/10/2018, 18:42:34"
"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .","An impossible romance , but we root for the patronized Iranian lad .",0.13775510204081634,"03/11/2015, 23:56:46"
"Chalk it up to my adoration for both De Niro and Murphy , but I had a pretty good time with this movie - despite its myriad flaws .",The disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,0.475,"03/11/2019, 23:00:35"
"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",Noyce films it more as a shocking history lesson than as drama .,0.0,"03/12/2015, 00:49:15"
Ranks among Willams ' best screen work .,It 's one of the most honest films ever made about Hollywood .,1.0,"03/12/2015, 15:45:13"
High on melodrama .,Her delivery and timing are flawless .,-0.06999999999999999,"03/12/2016, 09:43:54"
